"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 01 06:05:32 UTC 2022","Fri Apr 01 06:05:32 UTC 2022","146","","Orders API tests","","Orders API tests","can create an order","can create an order",""
"passed","Fri Apr 01 06:05:47 UTC 2022","Fri Apr 01 06:05:48 UTC 2022","140","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add a product to an order","can add a product to an order",""
"passed","Fri Apr 01 06:05:33 UTC 2022","Fri Apr 01 06:05:33 UTC 2022","473","","Orders API tests List all orders","","Orders API tests List all orders","inclusion / exclusion","inclusion / exclusion",""
"passed","Fri Apr 01 06:05:47 UTC 2022","Fri Apr 01 06:05:47 UTC 2022","105","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'refunded'","can update status of an order to 'refunded'",""
"passed","Fri Apr 01 06:05:19 UTC 2022","Fri Apr 01 06:05:19 UTC 2022","209","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","before / after","before / after",""
"passed","Fri Apr 01 06:05:39 UTC 2022","Fri Apr 01 06:05:39 UTC 2022","525","","Coupons API tests","","Coupons API tests","can retrieve a coupon","can retrieve a coupon",""
"passed","Fri Apr 01 06:05:18 UTC 2022","Fri Apr 01 06:05:18 UTC 2022","257","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","featured","featured",""
"passed","Fri Apr 01 06:05:20 UTC 2022","Fri Apr 01 06:05:21 UTC 2022","349","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","title","title",""
"passed","Fri Apr 01 06:05:41 UTC 2022","Fri Apr 01 06:05:41 UTC 2022","87","","Coupons API tests List coupons","","Coupons API tests List coupons","can paginate results","can paginate results",""
"passed","Fri Apr 01 06:05:35 UTC 2022","Fri Apr 01 06:05:36 UTC 2022","176","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","default","default",""
"passed","Fri Apr 01 06:05:52 UTC 2022","Fri Apr 01 06:05:53 UTC 2022","86","","Refunds API tests","","Refunds API tests","can retrieve a refund","can retrieve a refund",""
"passed","Fri Apr 01 06:05:18 UTC 2022","Fri Apr 01 06:05:19 UTC 2022","334","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","price","price",""
"passed","Fri Apr 01 06:05:48 UTC 2022","Fri Apr 01 06:05:48 UTC 2022","216","","Orders API tests: CRUD Delete an order","","Orders API tests: CRUD Delete an order","can permanently delete an order","can permanently delete an order",""
"passed","Fri Apr 01 06:05:43 UTC 2022","Fri Apr 01 06:05:43 UTC 2022","203","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch create products","can batch create products",""
"passed","Fri Apr 01 06:05:16 UTC 2022","Fri Apr 01 06:05:16 UTC 2022","174","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","search","search",""
"passed","Fri Apr 01 06:05:54 UTC 2022","Fri Apr 01 06:05:54 UTC 2022","87","","Order Search API tests","","Order Search API tests","can search by billing first name","can search by billing first name",""
"passed","Fri Apr 01 06:05:46 UTC 2022","Fri Apr 01 06:05:46 UTC 2022","86","","Orders API tests: CRUD Retrieve an order","","Orders API tests: CRUD Retrieve an order","can retrieve an order","can retrieve an order",""
"passed","Fri Apr 01 06:05:19 UTC 2022","Fri Apr 01 06:05:19 UTC 2022","91","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","shipping class","shipping class",""
"passed","Fri Apr 01 06:05:16 UTC 2022","Fri Apr 01 06:05:17 UTC 2022","451","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","inclusion / exclusion","inclusion / exclusion",""
"passed","Fri Apr 01 06:05:40 UTC 2022","Fri Apr 01 06:05:40 UTC 2022","130","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch create coupons","can batch create coupons",""
"passed","Fri Apr 01 06:05:51 UTC 2022","Fri Apr 01 06:05:51 UTC 2022","83","","Shipping zones API tests","","Shipping zones API tests","can list all shipping zones","can list all shipping zones",""
"passed","Fri Apr 01 06:05:54 UTC 2022","Fri Apr 01 06:05:54 UTC 2022","85","","Order Search API tests","","Order Search API tests","can search by billing address 2","can search by billing address 2",""
"passed","Fri Apr 01 06:05:54 UTC 2022","Fri Apr 01 06:05:55 UTC 2022","93","","Order Search API tests","","Order Search API tests","can search by shipping address 2","can search by shipping address 2",""
"passed","Fri Apr 01 06:05:47 UTC 2022","Fri Apr 01 06:05:47 UTC 2022","152","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'completed'","can update status of an order to 'completed'",""
"passed","Fri Apr 01 06:05:17 UTC 2022","Fri Apr 01 06:05:17 UTC 2022","174","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","sku","sku",""
"passed","Fri Apr 01 06:05:21 UTC 2022","Fri Apr 01 06:05:21 UTC 2022","323","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","slug","slug",""
"passed","Fri Apr 01 06:05:46 UTC 2022","Fri Apr 01 06:05:46 UTC 2022","296","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'refunded'","can create an order with status 'refunded'",""
"passed","Fri Apr 01 06:05:20 UTC 2022","Fri Apr 01 06:05:20 UTC 2022","122","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","date","date",""
"passed","Fri Apr 01 06:05:22 UTC 2022","Fri Apr 01 06:05:22 UTC 2022","104","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (desc)","popularity (desc)",""
"passed","Fri Apr 01 06:05:17 UTC 2022","Fri Apr 01 06:05:18 UTC 2022","432","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","type","type",""
"passed","Fri Apr 01 06:05:54 UTC 2022","Fri Apr 01 06:05:54 UTC 2022","89","","Order Search API tests","","Order Search API tests","can search by billing post code","can search by billing post code",""
"passed","Fri Apr 01 06:05:19 UTC 2022","Fri Apr 01 06:05:20 UTC 2022","99","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tags","tags",""
"passed","Fri Apr 01 06:05:54 UTC 2022","Fri Apr 01 06:05:54 UTC 2022","90","","Order Search API tests","","Order Search API tests","can search by shipping first name","can search by shipping first name",""
"passed","Fri Apr 01 06:05:34 UTC 2022","Fri Apr 01 06:05:34 UTC 2022","274","","Orders API tests List all orders","","Orders API tests List all orders","status","status",""
"passed","Fri Apr 01 06:05:55 UTC 2022","Fri Apr 01 06:05:56 UTC 2022","190","","Shipping methods API tests","","Shipping methods API tests","can add a 'Flat rate' shipping method","can add a 'Flat rate' shipping method",""
"passed","Fri Apr 01 06:05:50 UTC 2022","Fri Apr 01 06:05:50 UTC 2022","355","","Orders API test","","Orders API test","can add complex order","can add complex order",""
