"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 09 15:29:13 UTC 2022","Sat Apr 09 15:29:13 UTC 2022","201","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","featured","featured",""
"passed","Sat Apr 09 15:29:25 UTC 2022","Sat Apr 09 15:29:25 UTC 2022","100","","Orders API tests","","Orders API tests","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Sat Apr 09 15:29:36 UTC 2022","Sat Apr 09 15:29:36 UTC 2022","273","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'on-hold'","can create an order with status 'on-hold'",""
"passed","Sat Apr 09 15:29:32 UTC 2022","Sat Apr 09 15:29:32 UTC 2022","74","","Coupons API tests List coupons","","Coupons API tests List coupons","can paginate results","can paginate results",""
"passed","Sat Apr 09 15:29:43 UTC 2022","Sat Apr 09 15:29:44 UTC 2022","76","","Order Search API tests","","Order Search API tests","can search by shipping last name","can search by shipping last name",""
"passed","Sat Apr 09 15:29:37 UTC 2022","Sat Apr 09 15:29:37 UTC 2022","110","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'completed'","can update status of an order to 'completed'",""
"passed","Sat Apr 09 15:29:11 UTC 2022","Sat Apr 09 15:29:12 UTC 2022","453","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","pagination","pagination",""
"passed","Sat Apr 09 15:29:28 UTC 2022","Sat Apr 09 15:29:28 UTC 2022","151","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","date","date",""
"passed","Sat Apr 09 15:29:15 UTC 2022","Sat Apr 09 15:29:15 UTC 2022","190","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","parent","parent",""
"passed","Sat Apr 09 15:29:37 UTC 2022","Sat Apr 09 15:29:37 UTC 2022","79","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'pending'","can update status of an order to 'pending'",""
"passed","Sat Apr 09 15:29:27 UTC 2022","Sat Apr 09 15:29:27 UTC 2022","495","","Orders API tests List all orders","","Orders API tests List all orders","search","search",""
"passed","Sat Apr 09 15:29:13 UTC 2022","Sat Apr 09 15:29:14 UTC 2022","209","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","on sale","on sale",""
"passed","Sat Apr 09 15:29:26 UTC 2022","Sat Apr 09 15:29:26 UTC 2022","229","","Orders API tests List all orders","","Orders API tests List all orders","customer","customer",""
"passed","Sat Apr 09 15:29:40 UTC 2022","Sat Apr 09 15:29:41 UTC 2022","213","","Shipping zones API tests","","Shipping zones API tests","cannot delete the default shipping zone ""Locations not covered by your other zones""","cannot delete the default shipping zone ""Locations not covered by your other zones""",""
"passed","Sat Apr 09 15:29:34 UTC 2022","Sat Apr 09 15:29:34 UTC 2022","234","","Products API tests: CRUD","","Products API tests: CRUD","can add a variable product","can add a variable product",""
"passed","Sat Apr 09 15:29:16 UTC 2022","Sat Apr 09 15:29:16 UTC 2022","80","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (desc)","rating (desc)",""
"passed","Sat Apr 09 15:29:32 UTC 2022","Sat Apr 09 15:29:32 UTC 2022","241","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch delete coupons","can batch delete coupons",""
"passed","Sat Apr 09 15:29:32 UTC 2022","Sat Apr 09 15:29:32 UTC 2022","94","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch create coupons","can batch create coupons",""
"passed","Sat Apr 09 15:29:13 UTC 2022","Sat Apr 09 15:29:13 UTC 2022","202","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","categories","categories",""
"passed","Sat Apr 09 15:29:12 UTC 2022","Sat Apr 09 15:29:13 UTC 2022","142","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","slug","slug",""
"passed","Sat Apr 09 15:29:28 UTC 2022","Sat Apr 09 15:29:28 UTC 2022","209","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","include","include",""
"passed","Sat Apr 09 15:29:44 UTC 2022","Sat Apr 09 15:29:44 UTC 2022","144","","Shipping methods API tests","","Shipping methods API tests","can add a 'Free shipping' shipping method","can add a 'Free shipping' shipping method",""
"passed","Sat Apr 09 15:29:44 UTC 2022","Sat Apr 09 15:29:44 UTC 2022","76","","Order Search API tests","","Order Search API tests","can search by shipping address 2","can search by shipping address 2",""
"passed","Sat Apr 09 15:29:44 UTC 2022","Sat Apr 09 15:29:44 UTC 2022","154","","Shipping methods API tests","","Shipping methods API tests","can add a 'Flat rate' shipping method","can add a 'Flat rate' shipping method",""
"passed","Sat Apr 09 15:29:43 UTC 2022","Sat Apr 09 15:29:43 UTC 2022","76","","Order Search API tests","","Order Search API tests","can search by orderId","can search by orderId",""
"passed","Sat Apr 09 15:29:43 UTC 2022","Sat Apr 09 15:29:43 UTC 2022","76","","Order Search API tests","","Order Search API tests","can search by billing first name","can search by billing first name",""
"passed","Sat Apr 09 15:29:41 UTC 2022","Sat Apr 09 15:29:41 UTC 2022","74","","Shipping zones API tests","","Shipping zones API tests","can create a shipping zone","can create a shipping zone",""
"passed","Sat Apr 09 15:29:15 UTC 2022","Sat Apr 09 15:29:15 UTC 2022","258","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","title","title",""
"passed","Sat Apr 09 15:29:14 UTC 2022","Sat Apr 09 15:29:15 UTC 2022","78","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","stock status","stock status",""
"passed","Sat Apr 09 15:29:16 UTC 2022","Sat Apr 09 15:29:16 UTC 2022","261","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","price","price",""
"passed","Sat Apr 09 15:29:38 UTC 2022","Sat Apr 09 15:29:38 UTC 2022","179","","Orders API tests: CRUD Delete an order","","Orders API tests: CRUD Delete an order","can permanently delete an order","can permanently delete an order",""
"passed","Sat Apr 09 15:29:33 UTC 2022","Sat Apr 09 15:29:33 UTC 2022","146","","Coupons API tests Add coupon to order","","Coupons API tests Add coupon to order","can add coupon to an order","can add coupon to an order",""
"passed","Sat Apr 09 15:29:15 UTC 2022","Sat Apr 09 15:29:15 UTC 2022","211","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","id","id",""
"passed","Sat Apr 09 15:29:12 UTC 2022","Sat Apr 09 15:29:12 UTC 2022","149","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","search","search",""
"passed","Sat Apr 09 15:29:34 UTC 2022","Sat Apr 09 15:29:34 UTC 2022","162","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch create products","can batch create products",""
"skipped","Sat Apr 09 15:29:16 UTC 2022","Sat Apr 09 15:29:16 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (asc)","rating (asc)",""
"passed","Sat Apr 09 15:29:38 UTC 2022","Sat Apr 09 15:29:38 UTC 2022","124","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add a product to an order","can add a product to an order",""
"passed","Sat Apr 09 15:29:34 UTC 2022","Sat Apr 09 15:29:34 UTC 2022","173","","Products API tests: CRUD","","Products API tests: CRUD","can delete a product","can delete a product",""
"passed","Sat Apr 09 15:29:34 UTC 2022","Sat Apr 09 15:29:35 UTC 2022","268","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch delete products","can batch delete products",""
"passed","Sat Apr 09 15:29:41 UTC 2022","Sat Apr 09 15:29:41 UTC 2022","70","","Shipping zones API tests","","Shipping zones API tests","can update a shipping zone","can update a shipping zone",""
"passed","Sat Apr 09 15:29:33 UTC 2022","Sat Apr 09 15:29:33 UTC 2022","126","","Products API tests: CRUD","","Products API tests: CRUD","can add a simple product","can add a simple product",""
"passed","Sat Apr 09 15:29:37 UTC 2022","Sat Apr 09 15:29:37 UTC 2022","87","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'on-hold'","can update status of an order to 'on-hold'",""
"passed","Sat Apr 09 15:29:28 UTC 2022","Sat Apr 09 15:29:28 UTC 2022","304","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","id","id",""
"passed","Sat Apr 09 15:29:27 UTC 2022","Sat Apr 09 15:29:27 UTC 2022","256","","Orders API tests List all orders","","Orders API tests List all orders","dp (precision)","dp (precision)",""
"passed","Sat Apr 09 15:29:31 UTC 2022","Sat Apr 09 15:29:32 UTC 2022","158","","Coupons API tests","","Coupons API tests","can permanently delete a coupon","can permanently delete a coupon",""
"passed","Sat Apr 09 15:29:38 UTC 2022","Sat Apr 09 15:29:38 UTC 2022","213","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can pay for an order","can pay for an order",""
"passed","Sat Apr 09 15:29:34 UTC 2022","Sat Apr 09 15:29:34 UTC 2022","125","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch update products","can batch update products",""
"passed","Sat Apr 09 15:29:14 UTC 2022","Sat Apr 09 15:29:14 UTC 2022","171","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","before / after","before / after",""
"passed","Sat Apr 09 15:29:42 UTC 2022","Sat Apr 09 15:29:42 UTC 2022","74","","Refunds API tests","","Refunds API tests","can list all refunds","can list all refunds",""
