"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 24 07:16:05 UTC 2022","Tue May 24 07:16:17 UTC 2022","12029","Chrome","merchant/settings-general.spec.js","WooCommerce General Settings","","","can update settings",""
"passed","Tue May 24 07:11:30 UTC 2022","Tue May 24 07:11:35 UTC 2022","4980","Chrome","merchant/order-search.spec.js","WooCommerce Orders > Search orders","","","can search for order containing ""Clark"" as the shipping last name",""
"passed","Tue May 24 07:07:34 UTC 2022","Tue May 24 07:07:42 UTC 2022","8335","Chrome","merchant/create-variable-product.spec.js","Add New Variable Product Page","","","can delete all variations",""
"passed","Tue May 24 07:13:29 UTC 2022","Tue May 24 07:13:34 UTC 2022","4809","Chrome","merchant/page-loads.spec.js","WooCommerce Page Load > Load WooCommerce sub pages","","","Can load Customers",""
"passed","Tue May 24 07:08:58 UTC 2022","Tue May 24 07:09:05 UTC 2022","6345","Chrome","merchant/order-edit.spec.js","WooCommerce Orders > Edit order","","","can update order details",""
"passed","Tue May 24 07:12:59 UTC 2022","Tue May 24 07:13:03 UTC 2022","4636","Chrome","merchant/order-status-filter.spec.js","WooCommerce Orders > Filter Order by Status","","","should filter by Cancelled",""
"failed","Tue May 24 07:06:39 UTC 2022","Tue May 24 07:06:39 UTC 2022","40","Chrome","merchant/create-shipping-zones.spec.js","Verifies shipping options from customer perspective","","","allows customer to benefit from a free Local pickup if in SF",""
"passed","Tue May 24 07:14:18 UTC 2022","Tue May 24 07:14:23 UTC 2022","4802","Chrome","merchant/page-loads.spec.js","WooCommerce Page Load > Load Products sub pages","","","Can load Attributes",""
"passed","Tue May 24 07:10:50 UTC 2022","Tue May 24 07:10:55 UTC 2022","5135","Chrome","merchant/order-search.spec.js","WooCommerce Orders > Search orders","","","can search for order containing ""address1"" as the billing first address",""
"passed","Tue May 24 07:09:17 UTC 2022","Tue May 24 07:09:25 UTC 2022","8407","Chrome","merchant/order-edit.spec.js","WooCommerce Orders > Edit order > Downloadable product permissions","","","can edit downloadable product permissions",""
"passed","Tue May 24 07:02:08 UTC 2022","Tue May 24 07:02:16 UTC 2022","7976","Chrome","activate-and-setup/complete-onboarding-wizard.spec.js","A japanese store can complete the selective bundle install but does not include WCPay.","","","can choose not to install any extensions",""
"passed","Tue May 24 07:02:51 UTC 2022","Tue May 24 07:02:57 UTC 2022","5355","Chrome","admin-analytics/analytics-overview.spec.js","Analytics pages","","","should allow a user to remove a section",""
"failed","Tue May 24 07:06:40 UTC 2022","Tue May 24 07:06:40 UTC 2022","42","Chrome","merchant/create-shipping-zones.spec.js","Verifies shipping options from customer perspective","","","allows customer to benefit from a free Free shipping if in CA",""
"failed","Tue May 24 07:04:17 UTC 2022","Tue May 24 07:04:30 UTC 2022","13666","Chrome","admin-tasks/payment.spec.js","Payment setup task","","","Saving valid bank account transfer details enables the payment method",""
"passed","Tue May 24 07:11:05 UTC 2022","Tue May 24 07:11:09 UTC 2022","4881","Chrome","merchant/order-search.spec.js","WooCommerce Orders > Search orders","","","can search for order containing ""94107"" as the billing post code",""
"passed","Tue May 24 07:11:54 UTC 2022","Tue May 24 07:12:00 UTC 2022","5778","Chrome","merchant/order-search.spec.js","WooCommerce Orders > Search orders","","","can search for order containing ""Wanted Product"" as the shipping item name",""
"passed","Tue May 24 07:13:52 UTC 2022","Tue May 24 07:13:58 UTC 2022","6398","Chrome","merchant/page-loads.spec.js","WooCommerce Page Load > Load WooCommerce sub pages","","","Can load Status",""
"passed","Tue May 24 07:11:24 UTC 2022","Tue May 24 07:11:30 UTC 2022","5224","Chrome","merchant/order-search.spec.js","WooCommerce Orders > Search orders","","","can search for order containing ""Tim"" as the shipping first name",""
"passed","Tue May 24 07:10:14 UTC 2022","Tue May 24 07:10:19 UTC 2022","5045","Chrome","merchant/order-refund.spec.js","WooCommerce Orders > Refund an order","","","can delete an issued refund",""
